
[9:33:24:510] 		command: undefined 		|| args: 
[9:33:26:825] 		command: help 		|| args: 
[9:40:27:180] 		command: help 		|| args: 
[9:44:8:13] 		command: undefined 		|| args: 
[9:44:23:42] 		command: help 		|| args: 
[9:44:27:119] 		command: undefined 		|| args: 
[9:44:35:41] 		command: undefined 		|| args: 
[9:44:42:79] 		command: undefined 		|| args: 
[9:44:56:234] 		command: undefined 		|| args: 
[9:45:23:244] 		command: undefined 		|| args: 
[9:45:53:626] 		command: undefined 		|| args: 
[9:46:2:906] 		command: undefined 		|| args: 
[9:47:53:779] 		command: help 		|| args: 
[9:48:12:408] 		command: help 		|| args: 
[9:50:6:108] 		command: help 		|| args: 
[9:50:19:79] 		command: help 		|| args: 
[9:50:29:568] 		command: help 		|| args: 
[9:50:39:477] 		command: help 		|| args: 
[9:50:48:897] 		command: help 		|| args: 
[9:51:2:46] 		command: help 		|| args: 
[9:51:21:335] 		command: help 		|| args: 
[9:51:49:157] 		command: me 		|| args: 
[9:52:4:129] 		command: me 		|| args: 
[9:52:9:169] 		command: test 		|| args: 
[9:52:13:460] 		command: test 		|| args: test
[9:52:45:412] 		command: test 		|| args: 
[9:52:51:129] 		command: args 		|| args: 
[9:54:46:927] 		command: help 		|| args: 
[9:54:59:112] 		command: args 		|| args: ds
[9:56:48:374] 		command: undefined 		|| args: 
[9:58:17:582] 		command: undefined 		|| args: 
